Player,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Freddie Freeman,ATL,70,276,51,85,17,2,19,49,1,2,37,51,0,0,4,.308,.397,.591,.988
Jose Abreu,CWS,69,273,35,71,19,0,16,53,2,2,17,70,0,4,2,.260,.304,.505,.809
Eric Hosmer,SD,70,270,40,77,12,1,10,46,0,0,21,59,0,1,1,.285,.338,.448,.786
Josh Bell,PIT,69,266,51,86,26,3,19,64,0,1,31,62,0,4,1,.323,.391,.658,1.049
Trey Mancini,BAL,67,264,49,81,18,2,15,34,1,0,21,59,0,3,2,.307,.359,.561,.920
Paul Goldschmidt,STL,69,261,40,68,6,0,12,27,0,1,33,72,0,0,2,.261,.348,.421,.769
Yuli Gurriel,HOU,65,259,35,66,16,2,5,32,3,3,13,31,0,5,1,.255,.288,.390,.678
Luke Voit,NYY,67,251,46,66,8,1,17,45,0,0,42,77,0,1,6,.263,.380,.506,.886
Pete Alonso,NYM,69,251,43,66,14,2,23,53,0,0,25,76,0,2,9,.263,.348,.610,.958
Anthony Rizzo,CHC,66,247,45,69,11,1,19,51,3,2,33,41,0,1,12,.279,.389,.563,.952
Cody Bellinger,LAD,68,245,53,87,13,2,22,57,8,5,44,43,0,3,1,.355,.451,.694,1.145
Carlos Santana,CLE,68,242,45,70,13,1,14,42,2,0,49,47,0,0,1,.289,.411,.525,.936
Christian Walker,ARI,68,242,36,61,17,1,12,27,4,1,26,76,0,0,2,.252,.330,.479,.809
Edwin Encarnacion,SEA,65,241,48,58,7,0,21,49,0,1,41,55,0,3,4,.241,.356,.531,.887
Matt Carpenter,STL,66,239,36,53,10,1,9,25,4,1,39,68,0,2,2,.222,.333,.385,.718
Joey Votto,CIN,62,233,32,59,11,1,6,15,1,0,29,62,0,1,3,.253,.342,.386,.728
Max Muncy,LAD,69,233,43,65,11,1,16,43,3,1,38,69,0,3,0,.279,.376,.541,.917
Miguel Cabrera,DET,64,231,17,68,11,0,4,29,0,0,22,54,0,3,2,.294,.357,.394,.751
C.J. Cron,MIN,62,229,32,62,15,0,15,46,0,0,18,54,0,2,4,.271,.332,.533,.865
Jake Bauers,CLE,65,220,28,48,9,1,8,26,2,2,24,66,0,1,2,.218,.300,.377,.677
