Player,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
J.T. Realmuto,PHI,66,242,44,67,13,0,10,36,3,1,18,59,0,3,3,.277,.331,.455,.786
Yasmani Grandal,MIL,63,216,35,60,9,2,15,39,3,0,38,54,0,5,1,.278,.381,.546,.927
Yadier Molina,STL,55,209,20,55,15,0,4,34,4,0,8,22,0,3,2,.263,.293,.392,.685
Wilson Ramos,NYM,63,202,31,55,6,0,7,38,0,0,23,37,0,1,1,.272,.348,.406,.754
Willson Contreras,CHC,61,198,32,56,10,0,13,36,1,2,26,63,0,2,8,.283,.385,.530,.915
Omar Narvaez,SEA,57,193,33,55,5,0,10,25,0,0,23,43,0,1,2,.285,.365,.466,.831
Jonathan Lucroy,LAA,57,192,25,45,5,0,7,25,0,0,19,28,0,1,2,.234,.308,.370,.678
Gary Sanchez,NYY,51,192,32,50,5,1,20,43,0,0,19,56,0,0,3,.260,.336,.609,.945
Jorge Alfaro,MIA,54,188,21,51,5,0,9,27,1,2,8,67,0,0,7,.271,.325,.441,.766
Christian Vazquez,BOS,58,187,25,54,9,1,8,23,1,2,12,37,1,1,0,.289,.330,.476,.806
Martin Maldonado,KC,54,172,14,34,6,0,2,8,0,0,16,43,1,0,4,.198,.281,.267,.548
Robinson Chirinos,HOU,53,169,34,41,11,0,12,38,0,1,28,55,2,3,7,.243,.367,.521,.888
James McCann,CWS,47,169,28,54,14,0,5,18,3,0,13,41,0,0,1,.320,.372,.491,.863
Josh Phegley,OAK,58,166,25,43,12,0,8,38,0,0,8,33,1,3,4,.259,.304,.476,.780
Austin Hedges,SD,49,161,12,30,4,0,6,19,0,0,10,56,0,0,5,.186,.256,.323,.579
Buster Posey,SF,48,160,18,41,14,0,3,18,0,0,15,26,0,1,0,.256,.318,.400,.718
Danny Jansen,TOR,50,155,11,28,6,0,2,14,0,0,17,42,1,1,1,.181,.264,.258,.522
Grayson Greiner,DET,43,154,13,25,3,0,5,14,0,0,13,57,0,1,1,.162,.231,.279,.510
Tony Wolters,COL,49,152,25,46,10,1,1,19,0,0,17,25,1,4,4,.303,.379,.401,.780
