Player,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Domingo Santana,SEA,70,281,37,78,14,1,13,49,5,2,26,89,0,2,2,.278,.341,.473,.814
Ronald Acuna,ATL,70,279,45,80,10,1,15,45,9,3,30,78,0,0,5,.287,.366,.491,.857
Lorenzo Cain,MIL,66,277,42,69,19,0,4,27,7,3,21,52,0,3,3,.249,.306,.361,.667
Mookie Betts,BOS,70,269,53,70,17,0,11,31,6,1,52,46,0,2,2,.260,.382,.446,.828
Nicholas Castellanos,DET,65,262,39,68,21,3,7,24,1,1,20,66,0,2,2,.260,.315,.443,.758
Michael Brantley,HOU,67,262,34,81,19,1,10,39,3,2,23,26,0,1,3,.309,.370,.504,.874
Jorge Soler,KC,70,262,34,65,17,0,18,49,0,1,18,84,0,2,3,.248,.302,.519,.821
Eddie Rosario,MIN,65,262,47,68,9,1,19,52,2,1,14,41,0,2,0,.260,.295,.519,.814
Randal Grichuk,TOR,68,261,33,56,10,1,12,26,1,0,19,81,0,1,2,.215,.272,.398,.670
Stephen Piscotty,OAK,65,260,34,65,13,1,8,29,2,0,24,64,1,2,1,.250,.314,.400,.714
Bryce Harper,PHI,70,260,41,64,21,0,12,48,3,2,42,90,0,1,2,.246,.354,.465,.819
Andrew Benintendi,BOS,64,259,36,69,15,3,7,32,7,2,32,70,2,3,4,.266,.352,.429,.781
Adam Eaton,WAS,67,258,38,70,7,3,6,18,5,2,29,53,3,2,5,.271,.354,.391,.745
Starling Marte,PIT,59,257,42,74,14,2,10,34,11,1,8,47,1,1,7,.288,.326,.475,.801
Ramon Laureano,OAK,71,255,38,65,13,0,9,30,8,2,13,70,0,3,5,.255,.301,.412,.713
Marcell Ozuna,STL,67,254,49,66,13,0,18,56,7,1,27,62,0,1,1,.260,.332,.524,.856
Nomar Mazara,TEX,65,253,39,67,14,1,9,39,3,1,16,58,0,2,4,.265,.316,.435,.751
Adam Jones,ARI,65,249,36,69,15,0,13,39,1,1,14,44,0,2,4,.277,.323,.494,.817
Rhys Hoskins,PHI,69,248,38,68,14,2,15,49,1,2,48,72,0,2,4,.274,.397,.528,.925
Mitch Haniger,SEA,63,246,46,54,13,1,15,32,4,0,30,81,0,2,5,.220,.314,.463,.777
Nick Markakis,ATL,71,246,45,66,15,2,6,35,0,0,38,35,0,4,1,.268,.363,.419,.782
Shin-Soo Choo,TEX,65,246,48,69,17,2,11,29,4,1,31,74,0,0,10,.280,.383,.500,.883
Alex Gordon,KC,66,244,40,65,16,1,10,39,4,0,23,48,1,4,10,.266,.349,.463,.812
Leury Garcia,CWS,62,242,46,67,11,0,4,21,7,3,10,60,2,2,4,.277,.314,.372,.686
