Player,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Marcus Semien,OAK,72,290,46,81,15,1,10,36,5,4,38,47,0,1,0,.279,.362,.441,.803
Trevor Story,COL,69,282,63,82,18,2,16,47,12,4,27,83,0,1,4,.291,.360,.539,.899
Eduardo Escobar,ARI,70,280,47,82,17,5,17,57,1,1,24,65,0,4,3,.293,.350,.571,.921
Javier Baez,CHC,68,278,44,80,18,2,17,46,2,3,16,90,0,1,0,.288,.325,.550,.875
Adalberto Mondesi,KC,68,278,39,77,16,8,6,44,26,3,16,81,1,5,0,.277,.311,.457,.768
Jorge Polanco,MIN,66,267,45,89,21,5,10,37,2,3,26,44,0,3,2,.333,.393,.562,.955
Dansby Swanson,ATL,71,266,43,71,12,3,13,43,6,3,25,59,1,5,4,.267,.333,.481,.814
Amed Rosario,NYM,67,264,26,64,11,4,8,36,6,2,16,65,1,1,0,.242,.285,.405,.690
Xander Bogaerts,BOS,69,262,55,77,20,0,14,46,2,1,41,58,0,4,0,.294,.384,.531,.915
Manny Machado,SD,69,257,39,67,10,0,13,38,1,1,30,61,0,2,3,.261,.342,.451,.793
Paul DeJong,STL,68,256,47,71,18,1,12,33,5,0,31,54,0,2,5,.277,.364,.496,.860
Elvis Andrus,TEX,60,251,39,76,16,2,6,39,14,2,12,43,0,3,4,.303,.341,.454,.795
Nick Ahmed,ARI,70,249,36,69,20,2,5,28,4,0,21,55,1,6,1,.277,.329,.434,.763
Freddy Galvis,TOR,65,247,30,61,13,0,9,27,2,1,14,61,0,0,0,.247,.287,.409,.696
Alex Bregman,HOU,69,246,47,67,10,0,19,48,3,1,52,38,0,5,4,.272,.401,.545,.946
Jean Segura,PHI,60,244,42,68,16,3,6,27,4,1,16,30,1,1,3,.279,.330,.443,.773
Jurickson Profar,OAK,65,243,29,53,10,1,9,39,5,0,17,37,0,1,4,.218,.279,.379,.658
Gleyber Torres,NYY,64,243,38,70,13,0,15,36,3,1,20,61,1,4,1,.288,.340,.527,.867
Orlando Arcia,MIL,69,238,30,59,10,1,8,29,3,3,24,54,0,1,0,.248,.316,.399,.715
Corey Seager,LAD,66,237,40,66,21,0,8,38,1,0,28,51,0,2,3,.278,.359,.468,.827
Tim Anderson,CWS,62,236,35,75,11,0,10,32,15,3,7,48,0,0,3,.318,.346,.492,.838
Willy Adames,TB,64,231,29,56,9,1,6,19,3,1,21,67,1,0,1,.242,.308,.368,.676
Miguel Rojas,MIA,66,223,22,61,12,0,0,18,5,3,21,30,0,3,2,.274,.337,.327,.664
Brandon Crawford,SF,65,222,23,47,8,1,5,19,2,1,23,57,0,2,1,.212,.286,.324,.610
Marwin Gonzalez,MIN,60,221,27,58,11,0,9,26,1,0,20,56,0,0,2,.262,.329,.434,.763
Jose Iglesias,CIN,64,218,28,63,11,2,4,24,1,3,13,36,0,0,1,.289,.332,.413,.745
Tim Beckham,SEA,59,207,28,48,15,0,11,33,1,3,13,69,0,0,3,.232,.287,.464,.751
Francisco Lindor,CLE,50,200,32,60,10,1,11,25,9,1,20,32,0,3,2,.300,.364,.525,.889
Carlos Correa,HOU,50,190,26,56,13,1,11,35,1,0,20,51,0,3,1,.295,.360,.547,.907
Andrelton Simmons,LAA,46,188,22,56,13,0,3,21,5,1,6,15,0,0,1,.298,.323,.415,.738
Jose Peraza,CIN,64,182,18,38,6,0,5,16,5,3,11,29,0,0,3,.209,.265,.324,.589
Chris Taylor,LAD,67,182,19,40,11,2,5,23,4,0,16,55,2,1,1,.220,.285,.385,.670
Ronny Rodriguez,DET,45,149,17,32,11,3,6,22,2,1,7,49,0,3,0,.215,.245,.450,.695
Richie Martin,BAL,56,147,14,26,5,2,3,7,4,0,9,53,2,0,2,.177,.234,.299,.533
Kevin Newman,PIT,44,144,15,45,8,1,2,19,3,1,11,21,0,1,1,.313,.363,.424,.787
Fernando Tatis Jr.,SD,36,133,23,44,7,3,8,19,7,2,11,42,0,1,2,.331,.388,.609,.997
Trea Turner,WAS,31,131,23,39,12,3,5,15,10,1,10,31,0,0,0,.298,.348,.550,.898
Scott Kingery,PHI,38,118,21,41,12,1,8,21,2,1,6,31,0,0,2,.347,.389,.669,1.058
Cole Tucker,PIT,38,112,11,22,8,0,2,9,0,0,7,34,1,0,0,.196,.244,.321,.565
Ehire Adrianza,MIN,42,103,19,29,2,0,4,13,0,0,12,18,0,2,5,.282,.377,.417,.794
Aledmys Diaz,HOU,32,98,17,28,5,1,5,22,0,0,7,13,0,4,0,.286,.321,.510,.831
Garrett Hampson,COL,33,97,11,18,2,1,1,6,1,2,6,27,1,1,0,.186,.231,.258,.489
Dylan Moore,SEA,45,97,12,20,6,0,2,9,4,3,10,36,1,0,5,.206,.313,.330,.643
Addison Russell,CHC,30,84,9,20,1,0,4,10,0,0,9,20,1,2,0,.238,.305,.393,.698
Adeiny Hechavarria,NYM,29,78,11,19,4,0,4,14,2,1,3,16,0,0,0,.244,.272,.449,.721
J.P. Crawford,SEA,19,69,7,20,8,0,1,9,0,1,7,21,0,0,0,.290,.355,.449,.804
Yairo Munoz,STL,35,63,9,18,3,0,0,2,2,1,1,16,0,0,0,.286,.297,.333,.630
Jordy Mercer,DET,19,63,3,13,4,0,1,3,0,0,5,13,0,0,1,.206,.275,.317,.592
JT Riddle,MIA,27,60,7,11,3,0,2,4,0,0,2,19,0,0,2,.183,.234,.333,.567
Mike Freeman,CLE,26,51,7,12,2,0,1,9,0,2,11,16,2,1,1,.235,.375,.333,.708
Charlie Culberson,ATL,48,50,7,18,2,2,3,13,0,1,4,13,0,1,0,.360,.400,.660,1.060
Eric Stamets,CLE,15,41,4,2,1,0,0,2,0,0,5,24,1,1,0,.049,.149,.073,.222
Richard Urena,TOR,16,40,2,10,3,0,0,0,0,0,1,13,2,0,0,.250,.268,.325,.593
Carter Kieboom,WAS,11,39,4,5,0,0,2,2,0,0,4,16,0,0,0,.128,.209,.282,.491
Wilfredo Tovar,LAA,8,29,1,5,3,0,0,0,0,0,4,7,0,0,0,.172,.273,.276,.549
Myles Straw,HOU,12,28,9,8,1,1,0,3,3,1,5,6,0,0,0,.286,.394,.393,.787
Didi Gregorius,NYY,7,26,4,10,1,0,1,3,0,0,1,5,0,0,0,.385,.407,.538,.945
Tzu-Wei Lin,BOS,13,20,3,4,2,0,0,1,1,1,2,6,0,0,0,.200,.273,.300,.573
Andrew Velazquez,TB,10,12,2,1,1,0,0,0,0,0,0,6,0,0,0,.083,.083,.167,.250
Troy Tulowitzki,NYY,5,11,1,2,1,0,1,1,0,0,2,4,0,0,0,.182,.308,.545,.853
Yadiel Rivera,MIA,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500
Drew Jackson,BAL,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,.000,.250,.000,.250
Tyler Saladino,MIL,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
